"review_id","priority","current_ja_text","zh_reference","page_position","control_type","control_meaning","user_effect","suggested_ja_text","reviewer_note"
"CTX-JA-024","high","作成と読取はここから始め、確認や補完は情報整理で行います。","新建和读取从这里开始，确认和补全去整理信息。","录入资料页 / 页面说明","页面说明","明确录入资料页只处理创建和读取，不负责后续大规模补齐。","避免录入资料页和整理信息页职责重复。","",""
"CTX-JA-025","high","作成入口","创建入口","录入资料页 / 新建区块小标题","区块标题","选择先新建案件、客户/关系人或物件。","没有文件时也能开始建档。","",""
"CTX-JA-026","high","案件を新規作成","新建案件","录入资料页 / 新建卡片","卡片标题","创建一个租赁/买卖/保证申请等业务案件。","点击进入新建案件表单。","",""
"CTX-JA-027","high","関係者を新規作成","新建关系人/客户","录入资料页 / 新建卡片","卡片标题","创建客户、申请人、业主、保证人、公司等主体资料。","点击进入新建主体表单。","",""
"CTX-JA-028","high","物件を新規作成","新建物件","录入资料页 / 新建卡片","卡片标题","创建房源、房号、地址、租金或售价等物件基础信息。","点击进入新建物件表单。","",""
"CTX-JA-029","high","本人資料","本人资料","录入资料页 / 读取资料区块","资料类型标题","读取在留卡、驾照、本人确认资料等身份证明。","用户选择 PDF/图片后读取申请人身份相关信息。","",""
"CTX-JA-030","medium","同一人の複数証件","同一个人的多张证件","录入资料页 / 本人资料处理方式下拉框","下拉选项","说明这次上传的多张图片/PDF属于同一个人。","系统会尝试合并读取同一个人的信息。","",""
"CTX-JA-031","high","読取資料","读取资料","录入资料页 / 上传按钮","按钮","开始读取上传的 PDF、图片或 Excel。","点击后生成待确认的读取结果或导入任务。","",""
"CTX-JA-032","high","申込資料","申请资料","录入资料页 / Excel 读取区块","资料类型标题","保证会社申请资料、物件台账、补充清单等 Excel。","上传后系统读取表格内容，后续归入案件/主体/物件。","",""
"CTX-JA-033","high","資料整理アシスト","资料整理辅助","录入资料页 / 读取后的校对区块","区块标题","帮助用户确认资料里的内容应该保存到哪里。","用户只修正错误归属，不需要理解数据库字段。","",""
"CTX-JA-034","high","資料上の名前","资料里的名称","录入资料页 / 资料整理辅助表格左列","表格列名","原文件里的表头或栏目名。","用于告诉用户系统正在处理资料中的哪个栏目。","",""
"CTX-JA-035","high","保存する項目","保存成什么项目","录入资料页 / 资料整理辅助表格选择列","表格列名 / 下拉框","选择这个资料栏目在系统里对应哪个业务项目。","用户选择后，读取内容会写入相应的案件/主体/物件项目。","",""
"CTX-JA-036","medium","確認内容","确认内容","录入资料页 / 资料整理辅助表格右列","表格列名","用一句话说明系统会如何保存这列资料。","帮助用户不看字段代码也能理解映射结果。","",""
"CTX-JA-037","high","対象を選ぶ","选择整理对象","整理信息页 / 顶部说明区","区块标题","先决定要整理的是案件、客户/关系人、物件还是未归属资料。","避免用户把所有资料混在一张大表里找。","",""
"CTX-JA-038","high","先に対象を決めると、資料の追加先と整理画面がぶれません。","先确定对象，资料归属和整理页面就不会混乱。","整理信息页 / 顶部说明文字","页面说明","解释为什么要按对象整理。","帮助用户理解这页不是普通搜索页，而是整理入口。","",""
"CTX-JA-039","medium","絞り込む","筛选","整理信息页 / 搜索框右侧按钮","按钮","按搜索词和筛选条件刷新列表。","点击后列表只显示符合条件的对象。","",""
"CTX-JA-040","high","補完が必要","需要补全","整理信息页 / 左侧状态筛选","筛选项 / 状态","显示仍有缺失信息的对象。","点击后只看需要补齐的案件/主体/物件。","",""
"CTX-JA-041","high","未整理資料","未整理资料","整理信息页 / 左侧类型筛选","筛选项 / 对象类型","尚未归属或尚未确认的资料文件。","点击后优先处理文件归属。","",""
"CTX-JA-042","high","選択中の対象","当前对象","整理信息页 / 右侧详情栏标题","详情面板标题","显示当前选中的案件、客户/关系人、物件或资料。","用户看右栏确认自己正在处理哪一个对象。","",""
"CTX-JA-043","high","整理を続ける","继续整理","整理信息页 / 右侧详情栏主按钮 / 列表操作","主按钮","进入该对象的详细整理页面。","点击后打开案件工作台或对应对象页面。","",""
"CTX-JA-044","medium","資料を追加","补充资料","整理信息页 / 右侧详情栏按钮","按钮","给当前对象继续添加文件或图片。","点击后进入资料录入/上传方向。","",""
"CTX-JA-045","high","案件データは整理済みです。内容確認や資料追加を続けられます。","案件数据已整理，可继续确认内容或追加资料。","整理信息页 / 当前状态说明","状态说明","解释为什么这个案件现在显示为已整理。","用户据此判断是否还需要处理。","",""
"CTX-JA-046","high","案件内に確認が必要な情報があります。関係者、物件、費用などを補完してください。","案件内还有需确认信息，请补全人员、物件、费用等。","整理信息页 / 当前状态说明","状态说明","解释案件为什么仍待整理。","用户点击继续整理后应看到待补项目。","",""
"CTX-JA-047","high","完成度と入力内容","完成度和已填写内容","案件整理页 / 左侧显示栏标题","区块标题","显示当前案件已填多少、还差多少，以及已经输入的内容。","用户用它获得进度感，知道工作不是无底洞。","",""
"CTX-JA-048","high","次の項目","下一项","案件整理页 / 左侧当前输入结果提示","提示标签","指出下一个建议填写的字段。","用户填完右侧字段后，左侧会更新并提示下一项。","",""
"CTX-JA-049","medium","確認して保存","确认并保存","案件整理页 / 每个字段卡片下拉框或操作","按钮/状态动作","表示用户确认该字段无误并保存。","保存后左侧进度条增长，该项从待处理中移出。","",""
"CTX-JA-050","high","未入力","未填写","案件整理页 / 字段状态标签","状态标签","当前字段还没有内容。","必填未输入会排在更靠前的位置。","",""
"CTX-JA-051","high","要確認","需确认","案件整理页 / 字段状态标签","状态标签","系统有值或推断，但需要用户确认。","用户应检查后确认、修正或标记不用。","",""
"CTX-JA-052","medium","不一致","不一致","案件整理页 / 字段状态标签","状态标签","不同资料来源给出的内容不一致。","用户需要选择或修正最终值。","",""
"CTX-JA-053","medium","不要","不需要","案件整理页 / 字段状态标签/选项","状态/选项","该字段对当前案件不适用。","标记后它不会继续作为缺失项催促。","",""
"CTX-JA-054","high","申込書作成","申请书创建","输出文件页 / 保证会社申请书区域小标题","区块标题","说明这里是生成保证会社申请书，不是普通资料管理。","用户看到后知道下一步是申请书输出。","",""
"CTX-JA-055","high","保証会社申込書","保证会社申请书","输出文件页 / 主输出模块标题","模块标题","用于生成日本保证会社申请书。","选择案件和保证会社后进入预览/输出。","",""
"CTX-JA-056","high","確認してから出力","确认后输出","输出文件页 / 主输出模块说明标题","流程说明","强调先确认缺失项，再生成申请书。","避免用户以为点击后会直接生成未校验文件。","",""
"CTX-JA-057","high","保証会社を選ぶ","选择保证会社","输出文件页 / 模板选择区","下拉框标题","选择要使用哪个保证会社的申请书模板。","不同保证会社会有不同必填项和输出格式。","",""
"CTX-JA-058","high","残りの確認項目","剩余确认项","输出文件页 / 检查清单标题","区块标题","展示输出前仍需补齐或确认的内容。","用户可以从这里跳回整理信息或补充信息。","",""
"CTX-JA-059","high","PDFをプレビュー","PDF 预览","输出文件页 / 预览按钮或状态","按钮/状态","进入 PDF 预览，检查印字位置和填写内容。","预览通过后再下载正式文件。","",""
"CTX-JA-060","medium","申込書出力は準備中","申请书输出准备中","输出文件页 / 暂未开放模板按钮","按钮状态","表示该保证会社模板暂时不能正式输出。","用户只能先检查缺失项，不能下载该模板。","",""
"CTX-JA-061","high","必須","必填","必填项目设置页 / 字段点选标签","字段状态","该字段必须填写，未填写时会优先显示。","影响整理信息页的待补顺序和完成度。","",""
"CTX-JA-062","high","任意","选填","必填项目设置页 / 字段点选标签","字段状态","该字段不是必须填写。","未填写时不会排在最前，也不会强制阻止流程。","",""
"CTX-JA-063","medium","項目名、分岐、条件で検索","按项目名、分枝、条件搜索","必填项目设置页 / 搜索框占位文字","搜索提示","在大量字段中快速找目标字段。","输入关键词后只显示匹配字段。","",""
"CTX-JA-064","high","表示される場所","生效位置","必填项目设置页 / 顶部信息卡片","说明标签","告诉用户这些设置会影响哪里。","用户知道这不是马上填写资料，而是设置整理页规则。","",""
"CTX-JA-065","medium","表示中の項目を必須にする","把当前显示项目设为必填","必填项目设置页 / 批量操作按钮","按钮","将当前筛选/分枝下可见字段批量设为必填。","点击后这些字段都会变成必填，保存后生效。","",""
"CTX-JA-066","medium","表示中の項目を任意にする","把当前显示项目设为选填","必填项目设置页 / 批量操作按钮","按钮","将当前筛选/分枝下可见字段批量设为选填。","点击后这些字段不会再强制排前，保存后生效。","",""
